service,metric,family,unit,namespace,pod,persistentvolumeclaim,timestamp,timestamp_unix,value,labels_json
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-02T12:44:38.362000Z,1785674678.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-02T13:44:38.362000Z,1785678278.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-02T14:44:38.362000Z,1785681878.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-02T15:44:38.362000Z,1785685478.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-02T16:44:38.362000Z,1785689078.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-02T17:44:38.362000Z,1785692678.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-02T18:44:38.362000Z,1785696278.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-02T19:44:38.362000Z,1785699878.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-02T20:44:38.362000Z,1785703478.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-02T21:44:38.362000Z,1785707078.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-02T22:44:38.362000Z,1785710678.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-02T23:44:38.362000Z,1785714278.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-03T00:44:38.362000Z,1785717878.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-03T01:44:38.362000Z,1785721478.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-03T02:44:38.362000Z,1785725078.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-08-03T03:44:38.362000Z,1785728678.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
